,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
179,土城區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,0,46.2825,20,7,0.25
182,新莊區,房地(土地+建物)+車位,商,108,14,住宅大樓(11層含以上有電梯),4,1,0,42.0959,15,7,0.21428571428571427
184,林口區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,1,0,47.183949999999996,13,7,1.0
194,新店區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,1,0,21.79815,8,4,0.7
198,金山區,房地(土地+建物),住,108,5,華廈(10層含以下有電梯),4,1,0,13.1043,24,5,1.0
199,汐止區,房地(土地+建物),商,108,15,住宅大樓(11層含以上有電梯),4,1,0,38.783525000000004,11,7,0.4666666666666667
205,汐止區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,0,45.036199999999994,14,6,1.0
207,汐止區,房地(土地+建物)+車位,其他,108,24,住宅大樓(11層含以上有電梯),4,1,0,49.014075,23,5,0.375
211,八里區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,37.337575,29,7,0.4
223,中和區,房地(土地+建物),其他,108,21,套房(1房1廳1衛),4,1,0,14.105575,13,3,0.42857142857142855
229,中和區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,1,0,37.077425,25,7,0.8571428571428571
233,樹林區,房地(土地+建物),住,108,4,公寓(5樓含以下無電梯),4,0,0,19.5778,42,5,1.0
236,三峽區,房地(土地+建物),商,108,13,住宅大樓(11層含以上有電梯),4,1,0,33.501875,11,9,0.07692307692307693
237,新店區,房地(土地+建物)+車位,其他,108,14,住宅大樓(11層含以上有電梯),4,1,2000000,53.091775,20,9,0.9285714285714286
241,三重區,房地(土地+建物)+車位,商,108,19,住宅大樓(11層含以上有電梯),4,1,5000000,77.0891,4,8,0.21052631578947367
242,中和區,房地(土地+建物),商,108,11,住宅大樓(11層含以上有電梯),4,1,0,23.728099999999998,21,4,0.36363636363636365
244,三峽區,房地(土地+建物)+車位,商,108,19,住宅大樓(11層含以上有電梯),4,1,1200000,62.4239,12,7,0.8421052631578947
246,土城區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,1,1700000,56.19239999999999,10,7,0.4166666666666667
247,淡水區,房地(土地+建物),商,108,19,住宅大樓(11層含以上有電梯),4,1,0,18.062275,24,2,0.3684210526315789
252,淡水區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,29.983800000000002,39,8,0.4
254,八里區,房地(土地+建物),住,108,16,住宅大樓(11層含以上有電梯),4,1,0,26.459674999999997,24,5,0.9375
260,鶯歌區,房地(土地+建物),商,108,16,住宅大樓(11層含以上有電梯),4,1,0,40.238550000000004,29,7,0.5
262,三重區,房地(土地+建物)+車位,住,108,15,住宅大樓(11層含以上有電梯),4,1,2000000,38.553625,11,7,0.6666666666666666
266,淡水區,房地(土地+建物),住,108,15,套房(1房1廳1衛),4,1,0,16.398525,11,3,0.8666666666666667
269,新店區,房地(土地+建物),其他,108,18,套房(1房1廳1衛),4,1,0,11.6886,13,3,0.8333333333333334
280,樹林區,房地(土地+建物)+車位,住,108,15,住宅大樓(11層含以上有電梯),4,1,0,42.262275,13,7,0.6
284,中和區,房地(土地+建物),住,108,22,套房(1房1廳1衛),4,1,0,12.822975,23,3,0.36363636363636365
