,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
655,安定區,房地(土地+建物),住,108,3,透天厝,4,0,0,48.732749999999996,1,9,1.0
657,六甲區,房地(土地+建物),住,108,4,透天厝,4,0,0,61.056599999999996,9,8,1.0
669,安南區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,1,0,31.405549999999998,25,7,0.6
693,鹽水區,房地(土地+建物),住,108,12,住宅大樓(11層含以上有電梯),4,1,0,34.336775,23,6,0.5833333333333334
697,東區,房地(土地+建物)+車位,其他,108,14,套房(1房1廳1衛),4,1,0,20.3764,11,3,0.14285714285714285
699,新化區,房地(土地+建物),住,108,8,華廈(10層含以下有電梯),4,0,0,32.54295,26,7,0.25
729,西港區,房地(土地+建物),商,108,6,華廈(10層含以下有電梯),4,0,0,26.405225,24,6,0.8333333333333334
761,學甲區,房地(土地+建物),商,108,12,住宅大樓(11層含以上有電梯),4,1,0,38.577825,24,7,0.4166666666666667
763,新化區,房地(土地+建物)+車位,商,108,12,住宅大樓(11層含以上有電梯),4,1,0,36.460325,26,7,1.0
765,仁德區,房地(土地+建物)+車位,住,108,13,住宅大樓(11層含以上有電梯),4,1,0,35.47115,23,7,0.6923076923076923
781,永康區,房地(土地+建物)+車位,住,108,8,套房(1房1廳1衛),4,1,0,15.076600000000001,22,3,0.875
837,善化區,房地(土地+建物),住,108,8,華廈(10層含以下有電梯),4,1,0,35.752475,25,7,0.375
884,安平區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,1,0,36.590399999999995,28,7,1.0
891,東區,房地(土地+建物)+車位,住,108,5,公寓(5樓含以下無電梯),4,0,0,21.7921,27,5,1.0
921,佳里區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,1,0,43.865525,23,7,0.5
951,北區,房地(土地+建物),住,108,7,華廈(10層含以下有電梯),4,0,0,25.9303,38,4,1.0
956,安平區,房地(土地+建物),其他,108,6,套房(1房1廳1衛),4,1,0,11.31955,25,3,0.6666666666666666
972,仁德區,房地(土地+建物)+車位,住,108,5,透天厝,4,1,0,64.393175,20,11,1.0
976,永康區,房地(土地+建物),商,108,2,透天厝,5,0,0,41.4667,32,7,1.0
988,佳里區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,1,0,40.749775,25,7,0.5714285714285714
