,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
179,文山區,房地(土地+建物)+車位,商,105,33,住宅大樓(11層含以上有電梯),1,1,0,39.890675,1,7,0.30303030303030304
180,萬華區,房地(土地+建物),住,105,7,華廈(10層含以下有電梯),4,1,0,39.3492,5,6,1.0
191,中山區,房地(土地+建物),住,103,12,住宅大樓(11層含以上有電梯),4,1,0,18.316374999999997,-2,3,0.8333333333333334
194,中山區,房地(土地+建物)+車位,商,105,14,住宅大樓(11層含以上有電梯),4,1,9000000,115.394675,9,9,0.2857142857142857
197,中山區,房地(土地+建物)+車位,住,105,7,華廈(10層含以下有電梯),4,1,0,54.679899999999996,10,7,0.7142857142857143
202,信義區,房地(土地+建物)+車位,住,105,30,住宅大樓(11層含以上有電梯),1,1,0,94.310425,19,7,0.6333333333333333
205,北投區,房地(土地+建物)+車位,住,105,7,套房(1房1廳1衛),4,1,0,17.765825,17,3,0.7142857142857143
209,大安區,房地(土地+建物),住,105,14,住宅大樓(11層含以上有電梯),4,1,0,33.69245,29,7,0.7857142857142857
214,中正區,房地(土地+建物),住,105,7,華廈(10層含以下有電梯),4,1,0,39.703125,27,7,0.42857142857142855
215,中正區,房地(土地+建物)+車位,商,105,14,住宅大樓(11層含以上有電梯),4,1,0,35.105125,6,6,0.5
224,南港區,房地(土地+建物)+車位,其他,105,21,住宅大樓(11層含以上有電梯),4,1,0,113.724875,2,8,0.23809523809523808
225,大安區,房地(土地+建物)+車位,住,105,6,套房(1房1廳1衛),4,1,0,7.220675,9,3,0.16666666666666666
226,松山區,房地(土地+建物)+車位,住,105,11,套房(1房1廳1衛),4,1,0,13.803075,8,3,0.8181818181818182
229,文山區,房地(土地+建物),其他,105,19,住宅大樓(11層含以上有電梯),1,1,0,25.013724999999997,5,6,0.10526315789473684
231,北投區,房地(土地+建物)+車位,住,105,12,住宅大樓(11層含以上有電梯),4,1,0,47.791975,20,7,0.4166666666666667
239,中山區,房地(土地+建物)+車位,商,105,7,華廈(10層含以下有電梯),4,1,0,33.813449999999996,0,4,0.5714285714285714
242,內湖區,房地(土地+建物),商,105,5,公寓(5樓含以下無電梯),4,0,0,30.65535,34,7,0.4
251,大同區,房地(土地+建物)+車位,商,105,8,華廈(10層含以下有電梯),4,1,0,25.933325,1,4,0.625
258,萬華區,房地(土地+建物)+車位,商,102,5,華廈(10層含以下有電梯),4,1,1700000,32.57925,-2,3,1.0
260,文山區,房地(土地+建物),住,105,3,透天厝,4,0,0,56.516075,29,10,1.0
261,中正區,房地(土地+建物),商,105,10,華廈(10層含以下有電梯),4,1,0,26.3175,35,6,0.9
269,內湖區,房地(土地+建物),商,105,16,住宅大樓(11層含以上有電梯),4,1,0,44.706475,21,7,0.25
272,松山區,房地(土地+建物)+車位,住,105,15,住宅大樓(11層含以上有電梯),4,1,0,62.475325,30,8,0.4666666666666667
285,中山區,房地(土地+建物),住,105,7,套房(1房1廳1衛),4,1,0,16.283575,9,3,0.8571428571428571
292,中山區,房地(土地+建物)+車位,商,105,13,套房(1房1廳1衛),4,1,0,19.366049999999998,9,5,0.5384615384615384
299,北投區,房地(土地+建物)+車位,住,105,4,公寓(5樓含以下無電梯),4,1,0,56.092575000000004,20,9,0.25
322,文山區,房地(土地+建物)+車位,住,105,5,公寓(5樓含以下無電梯),4,1,0,73.722275,17,8,0.8
336,松山區,房地(土地+建物),住,105,4,公寓(5樓含以下無電梯),4,0,0,36.699299999999994,46,7,0.5
340,士林區,房地(土地+建物),商,105,3,公寓(5樓含以下無電梯),5,0,0,20.6305,43,5,0.3333333333333333
349,士林區,房地(土地+建物),住,105,9,套房(1房1廳1衛),4,1,0,18.237724999999998,24,3,0.7777777777777778
360,大同區,房地(土地+建物),商,105,11,套房(1房1廳1衛),4,1,0,10.953524999999999,35,3,1.0
362,萬華區,房地(土地+建物)+車位,商,105,14,住宅大樓(11層含以上有電梯),4,1,0,24.9744,8,5,0.21428571428571427
364,大安區,房地(土地+建物),其他,105,7,華廈(10層含以下有電梯),4,1,0,33.516999999999996,35,7,0.42857142857142855
375,松山區,房地(土地+建物),其他,105,6,華廈(10層含以下有電梯),4,1,0,29.629875,42,7,1.0
377,松山區,房地(土地+建物),商,105,11,套房(1房1廳1衛),4,1,0,14.199349999999999,20,3,0.36363636363636365
382,內湖區,房地(土地+建物)+車位,住,105,8,套房(1房1廳1衛),4,1,0,19.992225,8,3,1.0
388,中正區,房地(土地+建物)+車位,商,101,15,套房(1房1廳1衛),4,1,1700000,20.966275,-3,3,0.8666666666666667
392,文山區,房地(土地+建物)+車位,住,105,9,套房(1房1廳1衛),4,1,0,27.391375,8,3,0.5555555555555556
394,大同區,房地(土地+建物)+車位,住,105,7,套房(1房1廳1衛),4,0,0,20.104149999999997,2,3,0.7142857142857143
395,中正區,房地(土地+建物)+車位,住,105,15,住宅大樓(11層含以上有電梯),4,1,0,100.30295,10,9,1.0
403,文山區,房地(土地+建物),商,105,10,華廈(10層含以下有電梯),4,1,0,38.8894,34,6,0.3
425,士林區,房地(土地+建物)+車位,住,105,7,套房(1房1廳1衛),4,1,0,18.267975,7,3,1.0
427,文山區,房地(土地+建物)+車位,商,105,13,套房(1房1廳1衛),4,1,0,24.563,12,3,0.7692307692307693
429,中正區,房地(土地+建物),住,105,13,住宅大樓(11層含以上有電梯),4,1,0,11.612975,18,4,0.8461538461538461
435,信義區,房地(土地+建物)+車位,商,105,15,套房(1房1廳1衛),4,1,0,32.7063,2,3,0.6
437,大安區,房地(土地+建物),其他,105,5,公寓(5樓含以下無電梯),4,0,0,39.775725,35,7,0.8
442,中正區,房地(土地+建物)+車位,住,105,10,華廈(10層含以下有電梯),4,1,0,76.928775,13,9,0.5
469,萬華區,房地(土地+建物),商,105,5,公寓(5樓含以下無電梯),4,0,0,19.526374999999998,37,4,1.0
477,大同區,房地(土地+建物)+車位,住,105,13,住宅大樓(11層含以上有電梯),4,1,0,66.74057499999999,3,8,0.46153846153846156
478,中正區,房地(土地+建物),商,105,4,公寓(5樓含以下無電梯),5,0,0,39.618425,47,7,0.25
479,萬華區,房地(土地+建物)+車位,其他,105,7,華廈(10層含以下有電梯),4,1,0,28.45315,1,6,0.5714285714285714
480,大同區,房地(土地+建物),其他,105,14,套房(1房1廳1衛),4,1,0,9.289775,38,3,1.0
507,信義區,房地(土地+建物),住,105,5,套房(1房1廳1衛),4,0,0,15.6211,18,3,0.8
536,信義區,房地(土地+建物)+車位,其他,105,13,住宅大樓(11層含以上有電梯),4,1,0,49.897375,18,7,0.6153846153846154
