,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,建物移轉總面積坪,屋齡,房間數,樓層比
56,龜山區,房地(土地+建物)+車位,住,108,8,華廈(10層含以下有電梯),4,1,0,56.561449999999994,9,8,0.25
57,龜山區,房地(土地+建物)+車位,商,108,15,住宅大樓(11層含以上有電梯),4,1,0,50.883525,13,7,0.3333333333333333
59,龜山區,房地(土地+建物),住,108,14,住宅大樓(11層含以上有電梯),4,1,0,48.741825,16,7,0.35714285714285715
60,龜山區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,1,0,21.997799999999998,0,4,0.7
62,龜山區,房地(土地+建物),住,108,4,公寓(5樓含以下無電梯),4,0,0,20.603275,42,5,1.0
63,中壢區,房地(土地+建物),住,108,10,華廈(10層含以下有電梯),4,1,0,31.475125,16,7,0.4
65,中壢區,房地(土地+建物),住,108,2,透天厝,5,0,0,33.25685,45,14,1.0
68,八德區,房地(土地+建物)+車位,住,108,9,華廈(10層含以下有電梯),4,1,1000000,41.85995,25,7,0.8888888888888888
71,平鎮區,房地(土地+建物),住,108,2,透天厝,5,0,0,33.45045,40,10,1.0
73,平鎮區,房地(土地+建物)+車位,商,108,19,住宅大樓(11層含以上有電梯),4,1,0,39.367349999999995,4,3,0.5263157894736842
79,龜山區,房地(土地+建物)+車位,住,108,11,住宅大樓(11層含以上有電梯),4,1,1750000,35.58005,0,5,0.9090909090909091
81,平鎮區,房地(土地+建物)+車位,住,108,14,住宅大樓(11層含以上有電梯),4,1,0,45.13905,2,5,1.0
86,平鎮區,房地(土地+建物),商,108,15,住宅大樓(11層含以上有電梯),4,1,0,27.022325,7,5,1.0
91,蘆竹區,房地(土地+建物)+車位,住,108,9,華廈(10層含以下有電梯),4,1,0,40.982699999999994,5,5,0.8888888888888888
92,楊梅區,房地(土地+建物)+車位,住,108,7,華廈(10層含以下有電梯),4,0,0,34.81775,25,7,0.2857142857142857
93,楊梅區,房地(土地+建物),住,108,5,公寓(5樓含以下無電梯),4,0,0,22.557425,22,5,0.6
95,楊梅區,房地(土地+建物)+車位,住,108,12,住宅大樓(11層含以上有電梯),4,1,0,48.076325000000004,6,7,0.25
96,楊梅區,房地(土地+建物),住,108,15,套房(1房1廳1衛),4,1,0,12.50535,24,3,0.4
98,大溪區,房地(土地+建物),住,108,4,透天厝,4,1,0,76.96809999999999,23,14,1.0
99,龍潭區,房地(土地+建物),其他,108,4,公寓(5樓含以下無電梯),4,1,0,33.163075,21,9,0.75
101,觀音區,房地(土地+建物),住,108,2,透天厝,5,0,0,39.91185,41,7,1.0
