,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
15399,梧棲區,房地(土地+建物),商,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,8,30.0322,12.153621779290228,21,0,0.8333333333333334
15505,沙鹿區,房地(土地+建物),住,7,3,公寓(5樓含以下無電梯),4,0,0.0,6,18.044124999999998,13.854925079492634,42,0,0.6666666666666666
15607,南區,房地(土地+建物),其他,7,13,套房(1房1廳1衛),4,1,0.0,2,9.1355,16.200536369109518,24,0,0.9230769230769231
15621,南區,房地(土地+建物)+車位,其他,7,5,公寓(5樓含以下無電梯),4,1,0.0,7,37.513025,13.595277906807036,31,1,0.2
15716,沙鹿區,房地(土地+建物)+車位,住,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,8,42.88845,12.124476403320708,20,2,0.7857142857142857
16278,北屯區,房地(土地+建物),其他,7,7,華廈(10層含以下有電梯),4,1,0.0,6,29.136799999999997,16.474012245682438,27,0,0.7142857142857143
17380,西區,房地(土地+建物),其他,7,4,公寓(5樓含以下無電梯),4,0,0.0,4,16.589100000000002,22.002399165717247,39,0,0.5
17505,大里區,房地(土地+建物),商,7,4,公寓(5樓含以下無電梯),4,0,0.0,4,21.5138,11.62044827041248,38,0,1.0
18666,龍井區,房地(土地+建物)+車位,住,7,13,住宅大樓(11層含以上有電梯),4,1,0.0,8,64.96792500000001,12.775535004388702,27,0,0.8461538461538461
19474,沙鹿區,房地(土地+建物)+車位,商,6,9,華廈(10層含以下有電梯),4,1,0.0,5,38.650425,14.023131699069287,10,1,0.6666666666666666
19485,豐原區,房地(土地+建物)+車位,商,7,13,套房(1房1廳1衛),4,1,0.0,3,17.209225,12.667624486285698,22,1,0.46153846153846156
19547,西區,房地(土地+建物),其他,7,24,住宅大樓(11層含以上有電梯),4,1,0.0,6,42.108,19.7112187707799,21,0,0.8333333333333334
19742,太平區,房地(土地+建物)+車位,住,7,12,住宅大樓(11層含以上有電梯),4,1,0.0,8,56.473724999999995,11.50977733450379,28,1,0.5
20068,太平區,房地(土地+建物),住,7,7,華廈(10層含以下有電梯),4,0,0.0,6,38.363049999999994,10.166032158548397,24,0,0.7142857142857143
20799,西屯區,房地(土地+建物),商,7,5,公寓(5樓含以下無電梯),4,0,0.0,9,43.296825,15.243611973857206,34,0,0.6
20922,大里區,房地(土地+建物)+車位,住,6,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,30.053375,15.805213224804204,26,1,0.06666666666666667
20958,神岡區,房地(土地+建物),商,7,6,華廈(10層含以下有電梯),4,1,0.0,6,26.175325,13.371371702166066,26,0,0.8333333333333334
20986,南屯區,房地(土地+建物)+車位,住,7,4,透天厝,4,1,0.0,9,69.862375,14.313856349716138,26,1,1.0
21178,神岡區,房地(土地+建物),住,7,7,套房(1房1廳1衛),4,1,0.0,3,8.3611,16.505005322266207,27,0,0.42857142857142855
22145,潭子區,房地(土地+建物)+車位,商,7,14,住宅大樓(11層含以上有電梯),4,1,0.0,6,44.05005,15.323478633962958,18,1,0.35714285714285715
22738,西屯區,房地(土地+建物)+車位,其他,7,15,套房(1房1廳1衛),4,1,0.0,3,27.448849999999997,29.14511901227192,12,1,0.26666666666666666
23457,豐原區,房地(土地+建物)+車位,商,7,7,華廈(10層含以下有電梯),4,1,0.0,7,45.405249999999995,15.747077705771911,20,1,1.0
23805,大肚區,房地(土地+建物)+車位,住,6,14,住宅大樓(11層含以上有電梯),4,1,0.0,8,36.514775,11.036628323740185,19,1,0.21428571428571427
23829,太平區,房地(土地+建物)+車位,商,6,9,華廈(10層含以下有電梯),4,1,0.0,7,40.761874999999996,12.757018660206382,23,1,0.5555555555555556
24194,南屯區,房地(土地+建物),其他,6,14,套房(1房1廳1衛),4,1,0.0,3,9.22625,17.12505080612383,23,0,0.9285714285714286
24724,北屯區,房地(土地+建物)+車位,商,6,4,透天厝,4,1,0.0,9,77.12237499999999,21.34270372249299,8,1,1.0
24955,霧峰區,房地(土地+建物)+車位,住,6,9,華廈(10層含以下有電梯),4,1,0.0,8,48.463525000000004,13.53595306986027,19,1,1.0
25019,北區,房地(土地+建物)+車位,住,6,2,透天厝,4,0,0.0,4,30.198574999999998,43.04838887265376,52,1,1.0
25195,豐原區,房地(土地+建物),住,6,5,套房(1房1廳1衛),4,1,0.0,2,15.4033,12.010413352982802,26,0,1.0
25201,后里區,房地(土地+建物)+車位,商,6,7,華廈(10層含以下有電梯),4,1,0.0,7,39.076950000000004,11.771645432921453,20,1,1.0
26318,東區,房地(土地+建物),商,6,11,住宅大樓(11層含以上有電梯),4,1,0.0,7,34.122,13.07074614618135,27,0,0.36363636363636365
26404,豐原區,房地(土地+建物)+車位,住,6,20,套房(1房1廳1衛),4,1,0.0,3,12.825999999999999,14.033993450803058,22,1,0.4
26765,清水區,房地(土地+建物),其他,6,11,住宅大樓(11層含以上有電梯),4,1,0.0,8,63.3919,10.253675942825502,13,0,0.6363636363636364
26976,沙鹿區,房地(土地+建物),商,6,2,透天厝,5,0,0.0,7,34.9569,16.591860262208606,33,0,1.0
26997,烏日區,房地(土地+建物),住,6,7,套房(1房1廳1衛),4,1,0.0,2,9.31095,15.036059693156982,29,0,0.7142857142857143
27191,東區,房地(土地+建物)+車位,住,6,5,公寓(5樓含以下無電梯),4,1,0.0,7,34.0131,12.789190047364103,26,1,0.4
28121,中區,房地(土地+建物),商,6,2,透天厝,5,0,0.0,7,29.291075,25.605069120884092,51,0,1.0
28192,神岡區,房地(土地+建物),其他,6,3,透天厝,4,0,0.0,9,50.03954999999999,12.390199352312322,23,0,1.0
