,鄉鎮市區,交易標的,都市土地使用分區,交易年,總樓層數,建物型態,主要建材,有無管理組織,車位總價元,房間數,建物移轉總面積坪,每坪價格,屋齡,車位,樓層比
26773,橋頭區,房地(土地+建物),住,6,12,住宅大樓(11層含以上有電梯),4,1,0.0,6,29.968674999999998,10.844656962645162,24,0,0.5
26826,大寮區,房地(土地+建物),住,6,10,華廈(10層含以下有電梯),4,1,0.0,6,29.977749999999997,10.34100291049195,24,0,0.3
28386,左營區,房地(土地+建物)+車位,商,6,21,套房(1房1廳1衛),4,0,0.0,2,13.2858,17.311716268497193,23,1,0.6666666666666666
28758,新興區,房地(土地+建物),商,6,5,公寓(5樓含以下無電梯),4,0,0.0,7,22.8811,15.733509315548641,24,0,0.8
29055,三民區,房地(土地+建物),商,6,4,公寓(5樓含以下無電梯),4,0,0.0,4,14.516975,13.776974886296903,53,0,0.5
29143,苓雅區,房地(土地+建物)+車位,商,6,5,公寓(5樓含以下無電梯),4,0,0.0,7,33.38995,13.177617816139287,23,1,0.4
29836,鼓山區,房地(土地+建物),商,7,10,華廈(10層含以下有電梯),4,1,0.0,3,11.374,12.308774397749252,24,0,0.5
29839,鹽埕區,房地(土地+建物),商,7,7,華廈(10層含以下有電梯),4,1,0.0,3,36.992725,10.001966602892866,41,0,0.42857142857142855
31762,岡山區,房地(土地+建物),商,6,12,住宅大樓(11層含以上有電梯),4,0,0.0,2,11.316524999999999,10.603961905266857,23,0,0.5833333333333334
32122,鹽埕區,房地(土地+建物),住,6,5,公寓(5樓含以下無電梯),4,0,0.0,4,25.5552,14.478462309040822,24,0,0.2
32385,前鎮區,房地(土地+建物),其他,6,14,住宅大樓(11層含以上有電梯),4,1,0.0,7,42.353024999999995,15.063859075001139,16,0,0.35714285714285715
33574,旗津區,房地(土地+建物),商,6,12,住宅大樓(11層含以上有電梯),4,1,0.0,7,33.054175,11.04247799256826,20,0,0.75
34390,苓雅區,房地(土地+建物)+車位,商,6,10,華廈(10層含以下有電梯),4,1,0.0,9,86.6602,23.77100445187064,13,1,0.2
34860,橋頭區,房地(土地+建物)+車位,商,6,16,住宅大樓(11層含以上有電梯),4,1,0.0,7,32.8394,10.810185326163085,22,1,0.5625
36288,鳥松區,房地(土地+建物),商,6,2,透天厝,5,0,0.0,6,13.476374999999999,14.840786190648451,39,0,1.0
37400,岡山區,房地(土地+建物)+車位,商,6,13,住宅大樓(11層含以上有電梯),4,1,0.0,7,36.169925,11.888329876271516,24,1,0.46153846153846156
38715,橋頭區,房地(土地+建物)+車位,住,6,10,華廈(10層含以下有電梯),4,1,0.0,7,37.885099999999994,10.558240574790618,24,2,0.4
39622,新興區,房地(土地+建物),住,6,12,套房(1房1廳1衛),4,1,0.0,3,8.14935,12.27091731242369,24,0,0.4166666666666667
40850,前金區,房地(土地+建物),商,6,4,公寓(5樓含以下無電梯),4,0,0.0,4,13.213199999999999,10.898192716374536,29,0,0.75
41713,楠梓區,房地(土地+建物)+車位,其他,5,15,住宅大樓(11層含以上有電梯),4,1,0.0,6,29.42115,10.196746218281746,12,1,1.0
43051,前金區,房地(土地+建物),商,6,4,透天厝,4,0,0.0,9,38.408425,32.02422385192832,25,0,1.0
43324,新興區,房地(土地+建物)+車位,商,6,7,套房(1房1廳1衛),4,0,0.0,3,15.363975,13.668337783679029,25,1,0.42857142857142855
46679,鹽埕區,房地(土地+建物)+車位,住,6,15,住宅大樓(11層含以上有電梯),4,0,0.0,7,40.931275,21.40172765202159,11,1,0.6666666666666666
46971,前金區,房地(土地+建物)+車位,商,6,12,套房(1房1廳1衛),4,1,0.0,3,15.636225,11.191959696154283,23,1,0.4166666666666667
49302,林園區,房地(土地+建物),住,6,5,公寓(5樓含以下無電梯),4,0,0.0,6,6.694324999999999,10.45661810563425,36,0,1.0
49704,苓雅區,房地(土地+建物)+車位,商,6,14,套房(1房1廳1衛),4,1,0.0,3,16.701025,13.472227004031188,19,1,0.9285714285714286
51094,鳥松區,房地(土地+建物)+車位,其他,6,15,住宅大樓(11層含以上有電梯),4,1,0.0,7,44.9999,12.888917530927847,23,1,0.4
53091,岡山區,房地(土地+建物)+車位,住,6,5,公寓(5樓含以下無電梯),4,0,0.0,7,34.354924999999994,11.06100508151306,26,1,0.8
55596,楠梓區,房地(土地+建物)+車位,住,6,5,公寓(5樓含以下無電梯),4,0,0.0,9,56.322475,10.297842912620585,23,1,0.4
55810,小港區,房地(土地+建物),住,6,7,套房(1房1廳1衛),4,1,0.0,3,9.2928,10.761019283746556,22,0,0.2857142857142857
57364,旗津區,房地(土地+建物)+車位,住,5,10,華廈(10層含以下有電梯),4,1,0.0,7,33.931425,11.641126183176805,19,1,0.4
58006,橋頭區,房地(土地+建物),住,5,4,公寓(5樓含以下無電梯),4,0,0.0,7,26.919475,10.4013915575991,25,0,1.0
58311,湖內區,房地(土地+建物),商,5,1,透天厝,5,0,0.0,7,21.456325000000003,12.49048940114395,42,0,1.0
59179,鳥松區,房地(土地+建物)+車位,住,5,5,透天厝,4,1,0.0,9,70.92112499999999,14.946181409276857,22,1,1.0
59394,林園區,房地(土地+建物),其他,5,1,透天厝,5,0,0.0,4,13.766774999999999,15.254117249682661,51,0,1.0
60775,楠梓區,房地(土地+建物)+車位,商,5,7,華廈(10層含以下有電梯),4,1,0.0,7,31.7625,10.704447068083432,19,1,0.5714285714285714
61310,楠梓區,房地(土地+建物),商,5,7,華廈(10層含以下有電梯),4,1,0.0,7,35.7313,11.138693526404023,25,0,0.7142857142857143
66062,鳳山區,房地(土地+建物),其他,5,5,公寓(5樓含以下無電梯),4,0,0.0,7,24.916925,12.040008949739986,33,0,1.0
67277,鳳山區,房地(土地+建物)+車位,其他,5,16,住宅大樓(11層含以上有電梯),4,1,0.0,8,82.6188,15.292872808610149,20,2,0.9375
69676,路竹區,房地(土地+建物)+車位,住,5,5,華廈(10層含以下有電梯),4,0,0.0,7,30.803575,10.713042236169017,23,1,1.0
72565,鳥松區,房地(土地+建物),其他,5,10,華廈(10層含以下有電梯),4,1,0.0,3,18.007825,12.216911259410839,21,0,0.6
72746,新興區,房地(土地+建物),住,5,2,透天厝,5,0,0.0,6,26.840825,27.19737563953418,56,0,1.0
73526,大寮區,房地(土地+建物),商,5,13,住宅大樓(11層含以上有電梯),4,1,0.0,5,20.624450000000003,11.151812533182701,23,0,0.15384615384615385
75083,仁武區,房地(土地+建物),住,5,6,華廈(10層含以下有電梯),4,0,0.0,4,12.166549999999999,15.205625259420296,23,0,0.3333333333333333
76458,鼓山區,房地(土地+建物)+車位,住,5,14,套房(1房1廳1衛),4,1,0.0,3,33.0814,19.648503388611122,12,1,0.9285714285714286
79561,鹽埕區,房地(土地+建物)+車位,商,5,10,華廈(10層含以下有電梯),4,1,0.0,7,47.311,12.682040117520238,19,2,0.8
81995,新興區,房地(土地+建物),住,5,7,華廈(10層含以下有電梯),4,1,0.0,4,21.06005,14.244980425022732,24,0,1.0
84425,前金區,房地(土地+建物),其他,5,12,住宅大樓(11層含以上有電梯),4,1,0.0,8,39.324999999999996,10.934520025429117,24,0,0.9166666666666666
